שם הארגון,סוג הארגון,תחום השירות העיקרי,Value
נורית חן - אימון לארגונים העוסקים בסיעוד (פרטי),מתעניין/ת בתחום,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,חברות סיעוד (כללי)
נירה תמוז,אחר:,אחר:,NA
נירה תמוז,אחר:,אחר:,המשרד לשוויון חברתי
נירה תמוז,עסק פרטי,אחר:,NA
נירה תמוז,עסק פרטי,אחר:,המשרד לשוויון חברתי
נעמה אילן - מטפלת פרטית,אחר:,ירידה קוגנטיבית ודמנציה,NA
נעמה אילן - מטפלת פרטית,אחר:,ירידה קוגנטיבית ודמנציה,מטפלים בטיפולי בית (כללי)
נעמה אילן - מטפלת פרטית,אחר:,ירידה קוגנטיבית ודמנציה,"עמותת מלב""ב"
נעמה אילן - מטפלת פרטית,מרפאה בעיסוק עצמאית,ירידה קוגנטיבית ודמנציה,NA
נעמה אילן - מטפלת פרטית,מרפאה בעיסוק עצמאית,ירידה קוגנטיבית ודמנציה,מטפלים בטיפולי בית (כללי)
נעמה אילן - מטפלת פרטית,מרפאה בעיסוק עצמאית,ירידה קוגנטיבית ודמנציה,"עמותת מלב""ב"
נעמי עזיז רוזנבאום - גרונטולוגית,גרונטולוג,נגישות לשירותים,פרופסור איסי דורון
נעמי עזיז רוזנבאום - גרונטולוגית,גרונטולוג,נגישות לשירותים,פרופסור יצחק בריק
נעמי עזיז רוזנבאום - גרונטולוגית,גרונטולוג,נגישות לשירותים,תמר דשבסקי  - הזדמנויות לזקנה משמעותית
נעמן יזרעאלי - מוזיקה ותנועה לגיל השלישי,אחר:,אחר:,NA
נעמן יזרעאלי - מוזיקה ותנועה לגיל השלישי,אחר:,אחר:,אגף הגריאטריה במשרד הבריאות
נעמן יזרעאלי - מוזיקה ותנועה לגיל השלישי,מפעיל עצמאי במחלקות סיעודיות,אחר:,NA
נעמן יזרעאלי - מוזיקה ותנועה לגיל השלישי,מפעיל עצמאי במחלקות סיעודיות,אחר:,אגף הגריאטריה במשרד הבריאות
סבתא סורגת וסבא סורג,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,NA
סבתא סורגת וסבא סורג,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,ג'וינט אשל
סבתא סורגת וסבא סורג,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,המשרד לשוויון חברתי
סוזן אלסטר susanelster,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",שיקום,NA
סופר פארם,חברה מסחרית - תחום עסקי אחר,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
סופר פארם,חברה מסחרית - תחום עסקי אחר,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,המוסד לביטוח לאומי
עוצמה- עמותת משפחות לקידום בריאות הנפש,"מגזר שלישי (עמותה רשומה/חל""צ)",בריאות הנפש,חברות הסיעוד (כללי)
עוצמה- עמותת משפחות לקידום בריאות הנפש,"מגזר שלישי (עמותה רשומה/חל""צ)",בריאות הנפש,מכון ברוקדייל
עוצמה- עמותת משפחות לקידום בריאות הנפש,"מגזר שלישי (עמותה רשומה/חל""צ)",בריאות הנפש,משרד העבודה והרווחה
עוצמה- עמותת משפחות לקידום בריאות הנפש,"מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,NA
עוצמה- עמותת משפחות לקידום בריאות הנפש,"מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,מועצות לאומיות - משרד הבריאות
עטרת רימונים (בית אבות),מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אחר:,NA
עטרת רימונים (בית אבות),מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אחר:,עמותת עמדא
עטרת רימונים (בית אבות),מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אחר:,צהר עד מאה ועשרים - ייעוץ הלכתי-אתי לחולה ולבני משפחתו
עידית חריף - אימון זיכרון לגיל השלישי,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ירידה קוגנטיבית ודמנציה,NA
עידית חריף - אימון זיכרון לגיל השלישי,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ירידה קוגנטיבית ודמנציה,מרכזי אפ 60 (ג'וינט אשל)
עיריית בית שמש,רשות מקומית/מועצה איזורית,נגישות לשירותים,אגף הגריאטריה במשרד הבריאות
עיריית בית שמש,רשות מקומית/מועצה איזורית,נגישות לשירותים,עזרים: מאגר המידע הישראלי לטכנולוגיה מסייעת שיקום טיפול ונגישות
עיריית בית שמש,רשות מקומית/מועצה איזורית,נגישות לשירותים,קהילות מקומיות (כללי)
עיריית הוד השרון,רשות מקומית/מועצה איזורית,אחר:,NA
עיריית טירת הכרמל,רשות מקומית/מועצה איזורית,אחר:,NA
עיריית טירת הכרמל,רשות מקומית/מועצה איזורית,אחר:,משרד העבודה והרווחה
עיריית יבנה,רשות מקומית/מועצה איזורית,סיעוד,המשרד לשוויון חברתי
עיריית יבנה,רשות מקומית/מועצה איזורית,סיעוד,הרשויות המקומיות (כללי)
עיריית יבנה,רשות מקומית/מועצה איזורית,סיעוד,משרד העבודה והרווחה
עיריית ירושלים,רשות מקומית/מועצה איזורית,הפגת בדידות,"החברה למתנ""סים"
עיריית ירושלים,רשות מקומית/מועצה איזורית,הפגת בדידות,הרשויות המקומיות (כללי)
עיריית ירושלים,רשות מקומית/מועצה איזורית,הפגת בדידות,קופות החולים (כללי)
עיריית ירושלים,רשות מקומית/מועצה איזורית,נגישות לשירותים,אגף הגריאטריה במשרד הבריאות
עיריית ירושלים,רשות מקומית/מועצה איזורית,נגישות לשירותים,הגופים הפיננסיים (כללי)
עיריית ירושלים,רשות מקומית/מועצה איזורית,נגישות לשירותים,לשכות הרווחה ברשויות המקומיות (כללי)
עיריית כפר סבא,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
עיריית כפר סבא,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
עיריית כפר סבא,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המשרד לשוויון חברתי
עיריית כפר סבא - המחלקה לטיפול באזרחים ותיקים,רשות מקומית/מועצה איזורית,הפגת בדידות,NA
עיריית כפר סבא - המחלקה לטיפול באזרחים ותיקים,רשות מקומית/מועצה איזורית,הפגת בדידות,אגף הגריאטריה במשרד הבריאות
עיריית ראש העין,רשות מקומית/מועצה איזורית,הפגת בדידות,NA
עיריית ראש העין,רשות מקומית/מועצה איזורית,הפגת בדידות,משרד העבודה והרווחה
עיריית רמלה,רשות מקומית/מועצה איזורית,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
עיריית רמלה,רשות מקומית/מועצה איזורית,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,משרד העבודה והרווחה
עיריית רמת השרון,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
עיריית רמת השרון,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
עיריית רמת השרון,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המשרד לשוויון חברתי
עיריית תל אביב,רשות מקומית/מועצה איזורית,הפגת בדידות,NA
עיריית תל אביב,רשות מקומית/מועצה איזורית,הפגת בדידות,ג'וינט אשל
עיריית תל אביב יפו,גרונטולוג,אחר:,הרשויות המקומיות (כללי)
עיריית תל אביב יפו,גרונטולוג,אחר:,חברות טכנולוגיה (כללי)
עיריית תל אביב יפו,רשות מקומית/מועצה איזורית,אחר:,NA
עיריית תל אביב יפו,רשות מקומית/מועצה איזורית,אחר:,ג'וינט אשל
עיריית תל אביב יפו,רשות מקומית/מועצה איזורית,הפגת בדידות,NA
עיריית תל אביב יפו,רשות מקומית/מועצה איזורית,הפגת בדידות,ג'וינט אשל
עיריית תל אביב יפו,רשות מקומית/מועצה איזורית,הפגת בדידות,המשרד לשוויון חברתי
עיריית תל אביב יפו,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
עיריית תל אביב יפו,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
עירית חולון - השרות לאזרח הוותיק,רשות מקומית/מועצה איזורית,נגישות לשירותים,NA
עירית חולון - השרות לאזרח הוותיק,רשות מקומית/מועצה איזורית,נגישות לשירותים,המשרד לשוויון חברתי
עירית חולון - השרות לאזרח הוותיק,שרות הרווחה,נגישות לשירותים,NA
עירית חולון - השרות לאזרח הוותיק,שרות הרווחה,נגישות לשירותים,המשרד לשוויון חברתי
"על""ה, העמותה למען המבוגר ברחובות","מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,ג'וינט אשל
"על""ה, העמותה למען המבוגר ברחובות","מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,האגודה הישראלית לגרונטולוגיה
"על""ה, העמותה למען המבוגר ברחובות","מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,העמותות למען הקשיש (כללי)
עמותה לבטיחות וחינוך,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות דיגיטלית,NA
עמותה לבטיחות וחינוך,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות דיגיטלית,יזמים חברתיים (כללי)
"עמותת ""לב זהב""",גרונטולוג,סיעוד,NA
"עמותת ""לב זהב""",גרונטולוג,סיעוד,ג'וינט אשל
"עמותת גיל הזהב באלקנה מיסודה של צביה מינצר ז""ל","מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
"עמותת גיל הזהב באלקנה מיסודה של צביה מינצר ז""ל","מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,ג'וינט אשל
"עמותת גיל הזהב באלקנה מיסודה של צביה מינצר ז""ל","מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,המשרד לשוויון חברתי
"עמותת גנ""ת - גוף, נפש, תודעה","מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
"עמותת גנ""ת - גוף, נפש, תודעה","מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,ג'וינט אשל
עמותת הוותיק גליל מערבי,רשות מקומית/מועצה איזורית,הפגת בדידות,ג'וינט אשל
עמותת הוותיק גליל מערבי,רשות מקומית/מועצה איזורית,הפגת בדידות,משרד העבודה והרווחה
עמותת הוותיק גליל מערבי,רשות מקומית/מועצה איזורית,הפגת בדידות,עינת פורת עמוס
עמותת המייסדים,"מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,NA
עמותת המייסדים,"מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,אגף הגריאטריה במשרד הבריאות
עמותת המשפט ושרות הזקנה,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
עמותת המשפט ושרות הזקנה,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,קליניקות משפטיות (כללי)
עמותת השלום לטיפול בקשיש - סחנין,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,ג'וינט אשל
עמותת השלום לטיפול בקשיש - סחנין,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,הלב – איגוד העמותות לזקן בישראל
עמותת השלום לטיפול בקשיש - סחנין,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,קרן סיעוד - קרנות הביטוח הלאומי
עמותת ותיקי בנימין ובית אל,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
עמותת ותיקי בנימין ובית אל,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
עמותת ותיקי בנימין ובית אל,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,ג'וינט אשל
עמותת ותיקי בנימין ובית אל,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
עמותת ותיקי בנימין ובית אל,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המשרד לשוויון חברתי
עמותת ותיקי בנימין ובית אל,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,יזמים חברתיים (כללי)
עמותת זמארין - זכרון יעקב,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,אגף הגריאטריה במשרד הבריאות
עמותת זמארין - זכרון יעקב,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המשרד לשוויון חברתי
עמותת זמארין - זכרון יעקב,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,משרד העבודה והרווחה
עמותת ידיד לחינוך,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
עמותת לב הזהב,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,NA
עמותת לב הזהב,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,ג'וינט אשל
עמותת לב הזהב,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,גופי מימון (כללי)
"עמותת לשמ""ה","מגזר שלישי (עמותה רשומה/חל""צ)",בריאות הנפש,NA
"עמותת לשמ""ה","מגזר שלישי (עמותה רשומה/חל""צ)",בריאות הנפש,משרד הבריאות
עמותת מחשבה טובה,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות דיגיטלית,NA
עמותת מחשבה טובה,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות דיגיטלית,ג'וינט אשל
עמותת מחשבה טובה,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות דיגיטלית,מרכזי יום לקשישים (כללי)
עמותת מחשבה טובה,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות דיגיטלית,משרדי הממשלה (כללי)
עמותת מחשבה טובה,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות דיגיטלית,עמותת מחשבה טובה
עמותת מטב,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
עמותת מטב,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,הסתדרות הגמלאים
עמותת מטב,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,NA
עמותת מטב,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,אגף הגריאטריה במשרד הבריאות
עמותת מטב,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,המוסד לביטוח לאומי
עמותת מטב,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,המשרד לשוויון חברתי
עמותת מטב,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,חברות סיעוד (כללי)
עמותת מטב,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,משרד העבודה והרווחה
עמותת מטב,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,משרדי הממשלה (כללי)
"עמותת מלב""ב","מגזר שלישי (עמותה רשומה/חל""צ)",ירידה קוגנטיבית ודמנציה,אגף הגריאטריה במשרד הבריאות
"עמותת מלב""ב","מגזר שלישי (עמותה רשומה/חל""צ)",ירידה קוגנטיבית ודמנציה,"ד""ר יקיר קאופמן"
"עמותת מלב""ב","מגזר שלישי (עמותה רשומה/חל""צ)",ירידה קוגנטיבית ודמנציה,רועי קורן (Senior maeket)
"עמותת נאמן, נפגעי אירוע מוחי","מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
"עמותת נאמן, נפגעי אירוע מוחי","מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
עמותת נובה,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
עמותת נובה,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,ג'וינט אשל
עמותת ניני צ'ופ,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,ג'וינט אשל
עמותת ניני צ'ופ,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,"עמותת מלב""ב"
עמותת ניני צ'ופ,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,עמותת עמדא
עמותת עידן,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,NA
עמותת עידן,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,המוסד לביטוח לאומי
עמותת עידן,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,עמותת עמדא
"עמותת על""ה קרית אונו - שני מיזמים חדשניים ופורצי דרך בשלבי הקמה - קוגני-אקטיב והגדת","מגזר שלישי (עמותה רשומה/חל""צ)",ירידה קוגנטיבית ודמנציה,NA
"עמותת על""ה קרית אונו - שני מיזמים חדשניים ופורצי דרך בשלבי הקמה - קוגני-אקטיב והגדת","מגזר שלישי (עמותה רשומה/חל""צ)",ירידה קוגנטיבית ודמנציה,ג'וינט אשל
עמותת עלמה - בשבילך מבגרות לזיקנה,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
עמותת עלמה - בשבילך מבגרות לזיקנה,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,הלב – איגוד העמותות לזקן בישראל
עמותת עמדא,"מגזר שלישי (עמותה רשומה/חל""צ)",ירידה קוגנטיבית ודמנציה,NA
עמותת עמדא,"מגזר שלישי (עמותה רשומה/חל""צ)",ירידה קוגנטיבית ודמנציה,ג'וינט אשל
עמותת עמדא,"מגזר שלישי (עמותה רשומה/חל""צ)",ירידה קוגנטיבית ודמנציה,המוסד לביטוח לאומי
עמותת עמדא,"מגזר שלישי (עמותה רשומה/חל""צ)",ירידה קוגנטיבית ודמנציה,עמותת עמדא
"עמותת קלי""ק הוד השרון",אחר:,הפגת בדידות,מרכזי יום לקשישים (כללי)
"עמותת קלי""ק הוד השרון",אחר:,הפגת בדידות,משרד העבודה והרווחה
"עמותת קלי""ק הוד השרון","מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
"עמותת קלי""ק הוד השרון","מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,ג'וינט אשל
"עמותת קלי""ק הוד השרון","מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
"עמותת קלי""ק הוד השרון","מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,חברות טכנולוגיה (כללי)
"עמותת קלי""ק הוד השרון","מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,מועדוני ליונס בישראל
"עמותת קלי""ק הוד השרון","מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,משרדי הממשלה (כללי)
"עמותת קלי""ק הוד השרון","מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,עמותות (כללי)
"עמותת קלי""ק הוד השרון","מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,"עמותת קלי""ק הוד השרון"
"עמותת קלי""ק הוד השרון","מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,NA
"עמותת קלי""ק הוד השרון","מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,ג'וינט אשל
"עמותת קלי""ק הוד השרון","מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,"מירב כהן, השרה לשוויון חברתי"
"עמותת קלי""ק הוד השרון",מתנדבת בתחום,הפגת בדידות,מרכזי יום לקשישים (כללי)
"עמותת קלי""ק הוד השרון",מתנדבת בתחום,הפגת בדידות,משרד העבודה והרווחה
עמותת ראם מנשה,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
עמותת ראם מנשה,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,עמותות (כללי)
עמותת רוח טובה,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
עמותת רוח טובה,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,חיבורים 2080
עמותת תפוח,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות דיגיטלית,NA
עמותת תפוח,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות דיגיטלית,ג'וינט אשל
עמותת תפוח,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות דיגיטלית,עמותת תפוח
עמל,גרונטולוג,סיעוד,האגודה הישראלית לגרונטולוגיה
עמל,גרונטולוג,סיעוד,המשרד לשוויון חברתי
עמל,גרונטולוג,סיעוד,עמותות (כללי)
ערן שנער mba-partner,אחר:,אחר:,NA
ערן שנער mba-partner,אחר:,אחר:,קופות החולים (כללי)
ערן שנער mba-partner,עסק פרטי,אחר:,NA
ערן שנער mba-partner,עסק פרטי,אחר:,קופות החולים (כללי)
פאדיה כבהא - סטודנטית לגרונטולוגיה,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,אגף הגריאטריה במשרד הבריאות
פאדיה כבהא - סטודנטית לגרונטולוגיה,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,גרונטולוגים (כללי)
פאדיה כבהא - סטודנטית לגרונטולוגיה,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,האזרחים הוותיקים (כללי)
פוטו ישראל,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,NA
פוטו ישראל,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,כן לזקן - לקידום זכויות הזקנים
פוטו ישראל,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
פוטו ישראל,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,ג'וינט אשל
פוטו ישראל,עמותה,הפגת בדידות,NA
פוטו ישראל,עמותה,הפגת בדידות,ג'וינט אשל
פועלים מהלב למען קשישים,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
"פלסתום תעשיות בע""מ (בידן)",חברה מסחרית - תחום עסקי אחר,נגישות לשירותים,אגף הגריאטריה במשרד הבריאות
"פלסתום תעשיות בע""מ (בידן)",חברה מסחרית - תחום עסקי אחר,נגישות לשירותים,ג'וינט אשל
"פלסתום תעשיות בע""מ (בידן)",חברה מסחרית - תחום עסקי אחר,נגישות לשירותים,המשרד לשוויון חברתי
פרדס,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות דיגיטלית,NA
פשוט טק,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות דיגיטלית,ג'וינט אשל
פשוט טק,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות דיגיטלית,הכוורת
פשוט טק,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות דיגיטלית,המשרד לשוויון חברתי
פשוט טק,סטארט אפ,אוריינות דיגיטלית,NA
פשוט טק,סטארט אפ,אוריינות דיגיטלית,TechBuddy
צבר רפואה,אחר:,אחר:,NA
צבר רפואה,אחר:,אחר:,משרד הבריאות
צבר רפואה,חברה מסחרית - תחום עסקי אחר,אחר:,NA
צבר רפואה,חברה מסחרית - תחום עסקי אחר,אחר:,ג'וינט אשל
צבר רפואה,חברה מסחרית - תחום עסקי אחר,נגישות לשירותים,NA
צבר רפואה,חברה מסחרית - תחום עסקי אחר,נגישות לשירותים,אגף הגריאטריה במשרד הבריאות
צבר רפואה,חברה פרטית,אחר:,NA
צבר רפואה,חברה פרטית,אחר:,משרד הבריאות
"צ'יף השבט - חותם אישי, מתנת הגיל השלישי",סטארט אפ,גילנות,מרכזי אפ 60 (ג'וינט אשל)
"צ'יף השבט - חותם אישי, מתנת הגיל השלישי",סטארט אפ,גילנות,עמותת קשר בין דורי
"צ'יף השבט - חותם אישי, מתנת הגיל השלישי",סטארט אפ,גילנות,צ'יף השבט (עסק חברתי)
"קבוצת ואזנה בע""מ",סטארט אפ,אחר:,NA
"קבוצת ואזנה בע""מ",סטארט אפ,אחר:,קיבוץ צורעה
קבוצת שכולו טוב,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,NA
קהילה צומחת,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",סיעוד,האגודה הישראלית לגרונטולוגיה
קהילה צומחת,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",סיעוד,פרופסור איסי דורון
קהילה צומחת,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",סיעוד,פרופסור יצחק בריק
קהילה תומכת,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
קהילה תומכת,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ועידת התביעות
קהילה תומכת,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,משרד העבודה והרווחה
"קהילת 60 פלוס, מפלגת יש עתיד","יזם חברתי (שאינו תחת עמותה/ חל""צ)",גילנות, עמותת 121 - מנוע לשינוי חברתי
"קהילת 60 פלוס, מפלגת יש עתיד","יזם חברתי (שאינו תחת עמותה/ חל""צ)",גילנות,Caregivers Israel
"קהילת 60 פלוס, מפלגת יש עתיד","יזם חברתי (שאינו תחת עמותה/ חל""צ)",גילנות,"קהילת 60 פלוס, מפלגת יש עתיד"
קהילת AgingIL,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",נגישות לשירותים,ג'וינט אשל
קהילת AgingIL,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",נגישות לשירותים,המוסד לביטוח לאומי
קהילת AgingIL,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",נגישות לשירותים,קהילת AgingIL
"קואל""ה",אחר:,נגישות לשירותים,NA
"קואל""ה",אחר:,נגישות לשירותים,"קואל""ה"
"קואל""ה","עו""ד פרטית בתחום הזיקנה",נגישות לשירותים,NA
"קואל""ה","עו""ד פרטית בתחום הזיקנה",נגישות לשירותים,"קואל""ה"
קוגנישן בוקס,סטארט אפ,ירידה קוגנטיבית ודמנציה,NA
קופות החולים (כללי),מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ירידה קוגנטיבית ודמנציה,NA
קופות החולים (כללי),מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ירידה קוגנטיבית ודמנציה,אגף הגריאטריה במשרד הבריאות
קופת חולים כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
קופת חולים כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,"ארגון ""יד שרה"""
קופת חולים כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
קופת חולים כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,המשרד לשוויון חברתי
קופת חולים כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,קופת חולים כללית
קופת חולים כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות דיגיטלית,NA
קופת חולים כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות דיגיטלית,צבר רפואה
